> LEITURA DE (NMOD)
1
> LEITURA DE (NEXP, NVENT, NVSAI) DO MODELO
100 1 1
> LEITURA DE (X1, X2, ..., Y1, VAR1, Y2, VAR2, ...)
1,    4.57311863,    1
2,    2.82321114,    1
3,    2.80368363,    1
4,    1.33433026,    1
5,    2.84684115,    1
6,    2.66312128,    1
7,    3.29991481,    1
8,    2.32386285,    1
9,    4.74127635,    1
10,    4.14300078,    1
11,    4.34248629,    1
12,    2.98625645,    1
13,    5.43649837,    1
14,    2.76072125,    1
15,    3.78381495,    1
16,    2.69244028,    1
17,    2.4490728,    1
18,    2.68995883,    1
19,    0.96031669,    1
20,    3.20592889,    1
21,    1.88019819,    1
22,    3.01785317,    1
23,    1.4657882,    1
24,    2.19691684,    1
25,    2.00521003,    1
26,    3.60624531,    1
27,    3.29313156,    1
28,    2.97491389,    1
29,    4.11322226,    1
30,    2.45029955,    1
31,    3.42376388,    1
32,    2.36084023,    1
33,    3.93351435,    1
34,    3.70477338,    1
35,    2.31320627,    1
36,    2.72884968,    1
37,    2.45660728,    1
38,    4.10437856,    1
39,    2.58943403,    1
40,    3.61915263,    1
41,    2.53553199,    1
42,    2.02593711,    1
43,    2.69752857,    1
44,    2.89678707,    1
45,    4.06952339,    1
46,    2.05264529,    1
47,    0.58645896,    1
48,    2.43745236,    1
49,    3.66036491,    1
50,    2.44764404,    1
51,    3.87411242,    1
52,    1.93129329,    1
53,    2.63399095,    1
54,    3.53632515,    1
55,    2.83779124,    1
56,    3.69461432,    1
57,    3.35985981,    1
58,    3.84952385,    1
59,    3.52288661,    1
60,    4.08285397,    1
61,    2.01789088,    1
62,    5.3405802,    1
63,    3.35530082,    1
64,    2.89301809,    1
65,    3.32349428,    1
66,    3.24399159,    1
67,    1.97284008,    1
68,    3.25309567,    1
69,    3.38346193,    1
70,    1.8033606,    1
71,    3.84695675,    1
72,    3.65790757,    1
73,    3.82774544,    1
74,    2.113979,    1
75,    1.49780225,    1
76,    3.88678138,    1
77,    2.87671376,    1
78,    3.68504977,    1
79,    4.09094521,    1
80,    3.11124728,    1
81,    1.95938182,    1
82,    3.89196427,    1
83,    4.019854,    1
84,    2.63997277,    1
85,    -0.0540408,    1
86,    3.25459737,    1
87,    3.81757908,    1
88,    0.5348172,    1
89,    3.74907844,    1
90,    5.41170495,    1
91,    2.40293604,    1
92,    -0.08000308,    1
93,    4.34162266,    1
94,    2.85852592,    1
95,    4.06484448,    1
96,    2.05307303,    1
97,    5.45276999,    1
98,    3.45326188,    1
99,    2.74060167,    1
100,    3.26517961,    1

