> LEITURA DE (NMOD)
1
> LEITURA DE (NEXP, NVENT, NVSAI) DO MODELO
50 1 1
> LEITURA DE (X1, X2, ..., Y1, VAR1, Y2, VAR2, ...)
-100.0 , -987.394418336 , 1
-97.9797979798 , -970.333587777 , 1
-95.9595959596 , -950.401011236 , 1
-93.9393939394 , -929.194979476 , 1
-91.9191919192 , -907.016743175 , 1
-89.898989899 , -889.297224314 , 1
-87.8787878788 , -868.602916415 , 1
-85.8585858586 , -849.439221654 , 1
-83.8383838384 , -828.432551015 , 1
-81.8181818182 , -808.068359267 , 1
-79.797979798 , -789.336146463 , 1
-77.7777777778 , -767.415039322 , 1
-75.7575757576 , -748.323559502 , 1
-73.7373737374 , -729.55213325 , 1
-71.7171717172 , -708.487512109 , 1
-69.696969697 , -686.889079457 , 1
-67.6767676768 , -664.836379271 , 1
-65.6565656566 , -645.255739546 , 1
-63.6363636364 , -626.001861601 , 1
-61.6161616162 , -607.708855054 , 1
-59.595959596 , -584.325601455 , 1
-57.5757575758 , -566.344231532 , 1
-55.5555555556 , -545.404084943 , 1
-53.5353535354 , -523.952356041 , 1
-51.5151515152 , -505.112782597 , 1
-49.4949494949 , -485.547977888 , 1
-47.4747474747 , -464.88458988 , 1
-45.4545454545 , -443.795007832 , 1
-43.4343434343 , -423.245605061 , 1
-41.4141414141 , -404.126524545 , 1
-39.3939393939 , -383.815514964 , 1
-37.3737373737 , -362.353079539 , 1
-35.3535353535 , -343.392535178 , 1
-33.3333333333 , -322.970613086 , 1
-31.3131313131 , -303.79584809 , 1
-29.2929292929 , -281.994295854 , 1
-27.2727272727 , -262.731369428 , 1
-25.2525252525 , -244.290802923 , 1
-23.2323232323 , -222.008003881 , 1
-21.2121212121 , -202.648853933 , 1
-19.1919191919 , -181.969516734 , 1
-17.1717171717 , -161.672933621 , 1
-15.1515151515 , -140.149949187 , 1
-13.1313131313 , -121.513487093 , 1
-11.1111111111 , -101.972153697 , 1
-9.09090909091 , -80.6120075607 , 1
-7.07070707071 , -60.2583446691 , 1
-5.05050505051 , -40.7493255027 , 1
-3.0303030303 , -20.418949197 , 1
-1.0101010101 , 0.0329333960454 , 1
1.0101010101 , 19.9039511683 , 1
3.0303030303 , 40.0430360008 , 1
5.05050505051 , 61.1167794474 , 1
7.07070707071 , 80.5331723809 , 1
9.09090909091 , 100.181450317 , 1
11.1111111111 , 122.373158823 , 1
13.1313131313 , 143.58526062 , 1
15.1515151515 , 160.471431358 , 1
17.1717171717 , 180.907297167 , 1
19.1919191919 , 199.918683182 , 1
21.2121212121 , 223.06805751 , 1
23.2323232323 , 242.340874717 , 1
25.2525252525 , 261.466388038 , 1
27.2727272727 , 282.900803455 , 1
29.2929292929 , 302.846619752 , 1
31.3131313131 , 323.851456188 , 1
33.3333333333 , 342.962207022 , 1
35.3535353535 , 363.496926337 , 1
37.3737373737 , 383.980497706 , 1
39.3939393939 , 404.273644342 , 1
41.4141414141 , 423.616502824 , 1
43.4343434343 , 445.372521599 , 1
45.4545454545 , 464.303927531 , 1
47.4747474747 , 484.666847797 , 1
49.4949494949 , 504.438976752 , 1
51.5151515152 , 524.960892405 , 1
53.5353535354 , 547.129163031 , 1
55.5555555556 , 566.701648533 , 1
57.5757575758 , 586.872022921 , 1
59.595959596 , 604.957062418 , 1
61.6161616162 , 626.552748243 , 1
63.6363636364 , 647.004227004 , 1
65.6565656566 , 666.638203121 , 1
67.6767676768 , 687.141939718 , 1
69.696969697 , 707.647740265 , 1
71.7171717172 , 726.336128991 , 1
73.7373737374 , 747.505830509 , 1
75.7575757576 , 769.274501827 , 1
77.7777777778 , 788.598222745 , 1
79.797979798 , 809.619800894 , 1
81.8181818182 , 828.359172794 , 1
83.8383838384 , 849.084974282 , 1
85.8585858586 , 869.25570627 , 1
87.8787878788 , 888.761782945 , 1
89.898989899 , 908.541427167 , 1
91.9191919192 , 927.564993612 , 1
93.9393939394 , 949.434149424 , 1
95.9595959596 , 969.127469376 , 1
97.9797979798 , 990.207034615 , 1
100.0 , 1009.10635361 , 1
