 EXP,       XE(01),       YE(01),       SIGY(01),       YC(01),       YL(01),       YU(01),       YE(
     1, -.100000E+03, -.987394E+03, 0.776471E-01, -.989863E+03, -.990423E+03, -.989303E+03,
     2, -.979798E+02, -.970334E+03, 0.730372E-01, -.969663E+03, -.970206E+03, -.969119E+03,
     3, -.959596E+02, -.950401E+03, 0.686195E-01, -.949463E+03, -.949989E+03, -.948936E+03,
     4, -.939394E+02, -.929195E+03, 0.643938E-01, -.929263E+03, -.929773E+03, -.928752E+03,
     5, -.919192E+02, -.907017E+03, 0.603601E-01, -.909063E+03, -.909556E+03, -.908569E+03,
     6, -.898990E+02, -.889297E+03, 0.565186E-01, -.888862E+03, -.889340E+03, -.888384E+03,
     7, -.878788E+02, -.868603E+03, 0.528691E-01, -.868662E+03, -.869125E+03, -.868200E+03,
     8, -.858586E+02, -.849439E+03, 0.494118E-01, -.848462E+03, -.848909E+03, -.848015E+03,
     9, -.838384E+02, -.828433E+03, 0.461465E-01, -.828262E+03, -.828694E+03, -.827830E+03,
    10, -.818182E+02, -.808068E+03, 0.430732E-01, -.808062E+03, -.808479E+03, -.807645E+03,
    11, -.797980E+02, -.789336E+03, 0.401921E-01, -.787862E+03, -.788265E+03, -.787459E+03,
    12, -.777778E+02, -.767415E+03, 0.375030E-01, -.767662E+03, -.768051E+03, -.767272E+03,
    13, -.757576E+02, -.748324E+03, 0.350060E-01, -.747462E+03, -.747838E+03, -.747085E+03,
    14, -.737374E+02, -.729552E+03, 0.327011E-01, -.727262E+03, -.727625E+03, -.726898E+03,
    15, -.717172E+02, -.708488E+03, 0.305882E-01, -.707061E+03, -.707413E+03, -.706710E+03,
    16, -.696970E+02, -.686889E+03, 0.286675E-01, -.686861E+03, -.687202E+03, -.686521E+03,
    17, -.676768E+02, -.664836E+03, 0.269388E-01, -.666661E+03, -.666991E+03, -.666331E+03,
    18, -.656566E+02, -.645256E+03, 0.254022E-01, -.646461E+03, -.646782E+03, -.646141E+03,
    19, -.636364E+02, -.626002E+03, 0.240576E-01, -.626261E+03, -.626573E+03, -.625949E+03,
    20, -.616162E+02, -.607709E+03, 0.229052E-01, -.606061E+03, -.606365E+03, -.605757E+03,
    21, -.595960E+02, -.584326E+03, 0.219448E-01, -.585861E+03, -.586159E+03, -.585563E+03,
    22, -.575758E+02, -.566344E+03, 0.211765E-01, -.565661E+03, -.565953E+03, -.565368E+03,
    23, -.555556E+02, -.545404E+03, 0.206003E-01, -.545460E+03, -.545749E+03, -.545172E+03,
    24, -.535354E+02, -.523952E+03, 0.202161E-01, -.525260E+03, -.525546E+03, -.524975E+03,
    25, -.515152E+02, -.505113E+03, 0.200240E-01, -.505060E+03, -.505345E+03, -.504776E+03,
    26, -.494949E+02, -.485548E+03, 0.200239E-01, -.484860E+03, -.485145E+03, -.484576E+03,
    27, -.474747E+02, -.464885E+03, 0.202161E-01, -.464660E+03, -.464946E+03, -.464374E+03,
    28, -.454545E+02, -.443795E+03, 0.206003E-01, -.444460E+03, -.444749E+03, -.444171E+03,
    29, -.434343E+02, -.423246E+03, 0.211763E-01, -.424260E+03, -.424552E+03, -.423967E+03,
    30, -.414141E+02, -.404127E+03, 0.219448E-01, -.404060E+03, -.404358E+03, -.403762E+03,
    31, -.393939E+02, -.383816E+03, 0.229052E-01, -.383860E+03, -.384164E+03, -.383555E+03,
    32, -.373737E+02, -.362353E+03, 0.240575E-01, -.363659E+03, -.363971E+03, -.363348E+03,
    33, -.353535E+02, -.343393E+03, 0.254022E-01, -.343459E+03, -.343780E+03, -.343139E+03,
    34, -.333333E+02, -.322971E+03, 0.269388E-01, -.323259E+03, -.323589E+03, -.322929E+03,
    35, -.313131E+02, -.303796E+03, 0.286673E-01, -.303059E+03, -.303400E+03, -.302719E+03,
    36, -.292929E+02, -.281994E+03, 0.305883E-01, -.282859E+03, -.283211E+03, -.282507E+03,
    37, -.272727E+02, -.262731E+03, 0.327011E-01, -.262659E+03, -.263023E+03, -.262295E+03,
    38, -.252525E+02, -.244291E+03, 0.350061E-01, -.242459E+03, -.242835E+03, -.242083E+03,
    39, -.232323E+02, -.222008E+03, 0.375029E-01, -.222259E+03, -.222648E+03, -.221869E+03,
    40, -.212121E+02, -.202649E+03, 0.401920E-01, -.202059E+03, -.202462E+03, -.201655E+03,
    41, -.191919E+02, -.181970E+03, 0.430733E-01, -.181858E+03, -.182276E+03, -.181441E+03,
    42, -.171717E+02, -.161673E+03, 0.461464E-01, -.161658E+03, -.162090E+03, -.161226E+03,
    43, -.151515E+02, -.140150E+03, 0.494117E-01, -.141458E+03, -.141905E+03, -.141011E+03,
    44, -.131313E+02, -.121513E+03, 0.528692E-01, -.121258E+03, -.121720E+03, -.120796E+03,
    45, -.111111E+02, -.101972E+03, 0.565186E-01, -.101058E+03, -.101536E+03, -.100580E+03,
    46, -.909091E+01, -.806120E+02, 0.603602E-01, -.808579E+02, -.813519E+02, -.803639E+02,
    47, -.707071E+01, -.602583E+02, 0.643938E-01, -.606578E+02, -.611680E+02, -.601476E+02,
    48, -.505051E+01, -.407493E+02, 0.686195E-01, -.404577E+02, -.409844E+02, -.399310E+02,
    49, -.303030E+01, -.204189E+02, 0.730373E-01, -.202576E+02, -.208010E+02, -.197142E+02,
    50, -.101010E+01, 0.329334E-01, 0.776471E-01, -.574673E-01, -.617735E+00, 0.502801E+00,
