 EXP, XE(1), YE(1), YC(1), 
 0000000001, -0.10000000000000000E+003, -0.98739441833599994E+003, -0.96250689720180651E+003, 
 0000000002, -0.97979797979799997E+002, -0.97033358777700005E+003, -0.94326563223276844E+003, 
 0000000003, -0.95959595959599994E+002, -0.95040101123600004E+003, -0.92402436726373037E+003, 
 0000000004, -0.93939393939400006E+002, -0.92919497947599996E+003, -0.90478310229469253E+003, 
 0000000005, -0.91919191919200003E+002, -0.90701674317499999E+003, -0.88554183732565446E+003, 
 0000000006, -0.89898989899000000E+002, -0.88929722431400000E+003, -0.86630057235661639E+003, 
 0000000007, -0.87878787878799997E+002, -0.86860291641499998E+003, -0.84705930738757831E+003, 
 0000000008, -0.85858585858599994E+002, -0.84943922165399999E+003, -0.82781804241854024E+003, 
 0000000009, -0.83838383838400006E+002, -0.82843255101499994E+003, -0.80857677744950240E+003, 
 0000000010, -0.81818181818200003E+002, -0.80806835926700001E+003, -0.78933551248046433E+003, 
 0000000011, -0.79797979798000000E+002, -0.78933614646299998E+003, -0.77009424751142626E+003, 
 0000000012, -0.77777777777799997E+002, -0.76741503932199998E+003, -0.75085298254238819E+003, 
 0000000013, -0.75757575757599994E+002, -0.74832355950199997E+003, -0.73161171757335012E+003, 
 0000000014, -0.73737373737400006E+002, -0.72955213325000000E+003, -0.71237045260431228E+003, 
 0000000015, -0.71717171717200003E+002, -0.70848751210900002E+003, -0.69312918763527421E+003, 
 0000000016, -0.69696969697000000E+002, -0.68688907945699998E+003, -0.67388792266623614E+003, 
 0000000017, -0.67676767676799997E+002, -0.66483637927100006E+003, -0.65464665769719807E+003, 
 0000000018, -0.65656565656599994E+002, -0.64525573954599997E+003, -0.63540539272816000E+003, 
 0000000019, -0.63636363636399999E+002, -0.62600186160099997E+003, -0.61616412775912204E+003, 
 0000000020, -0.61616161616200003E+002, -0.60770885505399997E+003, -0.59692286279008408E+003, 
 0000000021, -0.59595959596000000E+002, -0.58432560145499997E+003, -0.57768159782104601E+003, 
 0000000022, -0.57575757575799997E+002, -0.56634423153199998E+003, -0.55844033285200794E+003, 
 0000000023, -0.55555555555600002E+002, -0.54540408494300004E+003, -0.53919906788296998E+003, 
 0000000024, -0.53535353535399999E+002, -0.52395235604100003E+003, -0.51995780291393191E+003, 
 0000000025, -0.51515151515200003E+002, -0.50511278259699998E+003, -0.50071653794489384E+003, 
 0000000026, -0.49494949494899998E+002, -0.48554797788799999E+003, -0.48147527297490336E+003, 
 0000000027, -0.47474747474700003E+002, -0.46488458988000002E+003, -0.46223400800586535E+003, 
 0000000028, -0.45454545454500000E+002, -0.44379500783200001E+003, -0.44299274303682733E+003, 
 0000000029, -0.43434343434299997E+002, -0.42324560506099999E+003, -0.42375147806778926E+003, 
 0000000030, -0.41414141414100001E+002, -0.40412652454500000E+003, -0.40451021309875125E+003, 
 0000000031, -0.39393939393899998E+002, -0.38381551496399999E+003, -0.38526894812971324E+003, 
 0000000032, -0.37373737373700003E+002, -0.36235307953900002E+003, -0.36602768316067522E+003, 
 0000000033, -0.35353535353500000E+002, -0.34339253517800000E+003, -0.34678641819163715E+003, 
 0000000034, -0.33333333333299997E+002, -0.32297061308600001E+003, -0.32754515322259914E+003, 
 0000000035, -0.31313131313100001E+002, -0.30379584808999999E+003, -0.30830388825356113E+003, 
 0000000036, -0.29292929292899998E+002, -0.28199429585399997E+003, -0.28906262328452311E+003, 
 0000000037, -0.27272727272699999E+002, -0.26273136942799999E+003, -0.26982135831548504E+003, 
 0000000038, -0.25252525252500000E+002, -0.24429080292300000E+003, -0.25058009334644709E+003, 
 0000000039, -0.23232323232300001E+002, -0.22200800388100001E+003, -0.23133882837740902E+003, 
 0000000040, -0.21212121212100001E+002, -0.20264885393300000E+003, -0.21209756340837100E+003, 
 0000000041, -0.19191919191899999E+002, -0.18196951673400000E+003, -0.19285629843933299E+003, 
 0000000042, -0.17171717171699999E+002, -0.16167293362100000E+003, -0.17361503347029497E+003, 
 0000000043, -0.15151515151500000E+002, -0.14014994918700000E+003, -0.15437376850125690E+003, 
 0000000044, -0.13131313131300001E+002, -0.12151348709299999E+003, -0.13513250353221889E+003, 
 0000000045, -0.11111111111100000E+002, -0.10197215369700000E+003, -0.11589123856318088E+003, 
 0000000046, -0.90909090909099994E+001, -0.80612007560699993E+002, -0.96649973594238091E+002, 
 0000000047, -0.70707070707100002E+001, -0.60258344669099998E+002, -0.77408708625200063E+002, 
 0000000048, -0.50505050505100000E+001, -0.40749325502700003E+002, -0.58167443656162042E+002, 
 0000000049, -0.30303030302999998E+001, -0.20418949197000000E+002, -0.38926178687028766E+002, 
 0000000050, -0.10101010101000001E+001,  0.32933396045400000E-001, -0.19684913717990746E+002, 
